pair_id,sequence_id,previous_file,current_file,wrong_id,new_tp,new_fp,new_fn,occ_tp,occ_fp,occ_fn,uncertain,validator_errors,total_ms,pass_primary
pair_035,C09,C09_F01_multi_partial_all_move.ply,C09_F02_one_occluded_one_partial.ply,0,0,0,0,1,0,0,0,,86.297,True
pair_036,C09,C09_F02_one_occluded_one_partial.ply,C09_F03_return_plus_new.ply,0,1,0,0,0,0,0,0,,136.587,True
pair_037,C09,C09_F03_return_plus_new.ply,C09_F04_visibility_recovered.ply,0,0,0,0,0,0,0,0,,135.881,True
pair_038,C10,C10_F00_rebound_start.ply,C10_F01_push_forward_xy_yaw.ply,0,0,0,0,0,0,0,0,,94.536,True
pair_039,C10,C10_F01_push_forward_xy_yaw.ply,C10_F02_rebound_reverse.ply,0,0,0,0,0,0,0,0,,96.387,True
pair_040,C10,C10_F02_rebound_reverse.ply,C10_F03_rebound_then_far_new.ply,0,1,0,0,0,0,0,0,,127.839,True
pair_041,C10,C10_F03_rebound_then_far_new.ply,C10_F04_rebound_final_settle.ply,0,0,0,0,0,0,0,0,,115.575,True
pair_042,P01,P01_F00_baseline.ply,P01_F01_rollObs_mild.ply,0,0,0,0,0,0,0,0,,18.833,True
pair_043,P01,P01_F00_baseline.ply,P01_F02_rollObs_heavy.ply,0,0,0,0,0,0,0,0,,15.452,True
pair_044,P01,P01_F00_baseline.ply,P01_F03_yaw_p3.ply,0,0,0,0,0,0,0,0,,26.207,True
pair_045,P01,P01_F00_baseline.ply,P01_F04_yaw_n5.ply,0,0,0,0,0,0,0,0,,22.254,True
pair_046,P01,P01_F00_baseline.ply,P01_F05_moveX_p20.ply,0,0,0,0,0,0,0,0,,19.734,True
pair_047,P01,P01_F00_baseline.ply,P01_F06_moveX_p45_yaw_p4.ply,0,0,0,0,0,0,0,0,,17.73,True
pair_048,P01,P01_F00_baseline.ply,P01_F07_partial_mild.ply,0,0,0,0,0,0,0,0,,15.738,True
pair_049,P01,P01_F00_baseline.ply,P01_F08_partial_heavy.ply,0,0,0,0,0,0,0,0,,15.507,True
pair_050,P01,P01_F00_baseline.ply,P01_F09_top_dominant.ply,0,0,0,0,0,0,0,0,,15.967,True
pair_051,P01,P01_F00_baseline.ply,P01_F10_side_dominant.ply,0,0,0,0,0,0,0,0,,14.178,True
pair_052,P01,P01_F00_baseline.ply,P01_F11_degraded.ply,0,0,0,0,0,0,0,0,,15.256,True
pair_053,P02,P02_F00_edgeOcc_baseline.ply,P02_F01_edgeOcc_left_mild.ply,0,0,0,0,0,0,0,0,,18.377,True
pair_054,P02,P02_F00_edgeOcc_baseline.ply,P02_F02_edgeOcc_right_mild.ply,0,0,0,0,0,0,0,0,,24.888,True
pair_055,P02,P02_F00_edgeOcc_baseline.ply,P02_F03_edgeOcc_both_mild.ply,0,0,0,0,0,0,0,0,,17.62,True
pair_056,P02,P02_F00_edgeOcc_baseline.ply,P02_F04_edgeOcc_both_heavy.ply,0,0,0,0,0,0,0,0,,17.266,True
pair_057,P02,P02_F00_edgeOcc_baseline.ply,P02_F05_rollHeavy_noHole.ply,0,0,0,0,0,0,0,0,,17.246,True
pair_067,S04,S04_F00_internal_gap_02cm.ply,S04_F01_internal_gap_10cm.ply,0,0,0,0,0,0,0,0,,101.771,True
pair_068,S04,S04_F00_internal_gap_02cm.ply,S04_F02_internal_gap_28cm.ply,0,0,0,0,0,0,0,0,,107.298,True
pair_069,S04,S04_F00_internal_gap_02cm.ply,S04_F03_internal_gap_45cm.ply,0,0,0,0,0,0,0,0,,93.179,True
pair_084,S12,S12_F00_view_clean.ply,S12_F01_view_top_view.ply,0,0,0,0,0,0,0,0,,113.283,True
pair_085,S12,S12_F00_view_clean.ply,S12_F02_view_side_view.ply,0,0,0,0,0,0,0,0,,78.457,True
pair_086,S12,S12_F00_view_clean.ply,S12_F03_view_degraded.ply,0,0,0,0,0,0,0,0,,92.37,True
pair_107,D01,D01_F00_full_l1_before_l2.ply,D01_F01_l2_new_support0.ply,0,1,0,0,0,0,0,0,,216.697,True
pair_108,D01,D01_F01_l2_new_support0.ply,D01_F02_l2_new_support1.ply,0,1,0,0,0,0,0,0,,234.138,True
pair_109,D01,D01_F02_l2_new_support1.ply,D01_F03_upper_settle_l1_locked.ply,0,0,0,0,0,0,0,0,,238.22,True
pair_110,D02,D02_F00_full_l1_before_right_l2.ply,D02_F01_right_new_support8.ply,0,1,0,0,0,0,0,0,,214.679,True
pair_111,D02,D02_F01_right_new_support8.ply,D02_F02_right_new_support7.ply,0,1,0,0,0,0,0,0,,384.724,True
pair_112,D02,D02_F02_right_new_support7.ply,D02_F03_right_new_support6.ply,0,1,0,0,0,0,0,0,,1143.104,True
pair_113,D03,D03_F00_full_l1.ply,D03_F01_new_support1.ply,0,1,0,0,0,0,0,0,,357.231,True
pair_114,D03,D03_F01_new_support1.ply,D03_F02_new_support7.ply,0,1,0,0,0,0,0,0,,359.334,True
pair_115,D03,D03_F02_new_support7.ply,D03_F03_multi_new_support3_5.ply,0,2,0,0,0,0,0,0,,431.492,True
pair_116,D04,D04_F00_full_l1_multiview.ply,D04_F01_top_new_support2.ply,0,1,0,0,0,0,0,0,,144.093,True
pair_117,D04,D04_F01_top_new_support2.ply,D04_F02_top_new_support3.ply,0,1,0,0,0,0,0,0,,130.948,True
pair_118,D04,D04_F02_top_new_support3.ply,D04_F03_top_upper_motion.ply,0,0,0,0,0,0,0,0,,131.127,True
pair_119,D05,D05_F00_bootstrap_double_layer.ply,D05_F01_bootstrap_then_new_support7.ply,0,1,0,0,0,0,0,0,,314.072,True
pair_120,D05,D05_F01_bootstrap_then_new_support7.ply,D05_F02_bootstrap_followup.ply,0,0,0,0,0,0,0,0,,345.032,True
pair_121,D06,D06_F00_bootstrap_topdown_heavy.ply,D06_F01_topdown_add_eighth.ply,0,1,0,0,0,1,0,1,,275.818,True
pair_122,D06,D06_F01_topdown_add_eighth.ply,D06_F02_topdown_all_eight_settle.ply,0,0,0,0,0,1,0,1,,246.178,True
pair_123,D07,D07_F00_support_identity_start.ply,D07_F01_support_offsets.ply,0,0,0,0,0,0,0,0,,386.558,True
pair_124,D07,D07_F01_support_offsets.ply,D07_F02_support_offsets_rebound.ply,0,0,0,0,0,0,0,0,,375.549,True
pair_125,D08,D08_F00_locked_foundation_start.ply,D08_F01_foundation_hard_shift.ply,0,0,0,0,0,0,0,0,,337.457,True
pair_126,D08,D08_F01_foundation_hard_shift.ply,D08_F02_foundation_returns.ply,0,0,0,0,0,0,0,0,,357.947,True
pair_127,D09,D09_F00_upper_support_start.ply,D09_F01_upper_off_support.ply,0,0,0,0,0,0,0,0,,370.913,True
pair_128,D09,D09_F01_upper_off_support.ply,D09_F02_upper_back_on_support.ply,0,0,0,0,0,0,0,0,,355.823,True
pair_129,D10,D10_F00_full_l1.ply,D10_F01_multi_new_0_7.ply,0,2,0,0,0,0,0,0,,269.508,True
pair_130,D10,D10_F01_multi_new_0_7.ply,D10_F02_multi_new_1_6.ply,0,2,0,0,0,0,0,0,,318.769,True
pair_131,D10,D10_F02_multi_new_1_6.ply,D10_F03_multi_new_2_5.ply,0,2,0,0,0,0,0,0,,353.131,True
pair_132,D10,D10_F03_multi_new_2_5.ply,D10_F04_multi_new_3_4_reach8.ply,0,2,0,0,0,0,0,0,,500.152,True
pair_133,D10,D10_F04_multi_new_3_4_reach8.ply,D10_F05_illegal_ninth_support8.ply,0,1,0,0,0,0,0,0,,506.804,True
